"","Station","Date","Daily Rainfall Total (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Mean Wind Speed (km/h)","Max Wind Speed (km/h)","LAT","LONG"
"1031","Ang Mo Kio",2023-10-28,0.8,27.6,29.3,25.8,4.6,34.3,1.3764,103.8492
"1032","Ang Mo Kio",2023-10-29,0,29,34,25.6,3.7,25.2,1.3764,103.8492
"1033","Ang Mo Kio",2023-10-30,0.4,28.3,33.7,25.8,3.9,26.7,1.3764,103.8492
"1034","Ang Mo Kio",2023-10-31,17.2,27.9,33.8,25.1,4.3,29.8,1.3764,103.8492
"1035","Ang Mo Kio",2023-11-01,12.8,27.8,32.5,24.8,3.8,26.3,1.3764,103.8492
"1036","Ang Mo Kio",2023-11-02,0,28.7,33.7,25.6,3.2,26.7,1.3764,103.8492
"1037","Ang Mo Kio",2023-11-03,0,29.6,33.8,26.1,4.3,24.4,1.3764,103.8492
"1038","Ang Mo Kio",2023-11-04,0,28.8,32.9,26.4,4.3,28.2,1.3764,103.8492
"1039","Ang Mo Kio",2023-11-05,20.8,27.9,33.4,25.1,3.3,27.4,1.3764,103.8492
"1040","Ang Mo Kio",2023-11-06,0,28.3,34.5,25.9,3.6,24.8,1.3764,103.8492
"1041","Ang Mo Kio",2023-11-07,19,27.6,34,24,3.9,38.5,1.3764,103.8492
"1042","Ang Mo Kio",2023-11-08,0,28,32.4,25.2,4.1,20.6,1.3764,103.8492
"1043","Ang Mo Kio",2023-11-09,0.4,27.9,31.8,25.8,4.2,21.3,1.3764,103.8492
"1044","Ang Mo Kio",2023-11-10,0.2,28.1,33.2,26.6,5.6,28.5,1.3764,103.8492
"1045","Ang Mo Kio",2023-11-11,0,29.4,34.1,25.7,5,25.2,1.3764,103.8492
"1046","Ang Mo Kio",2023-11-12,4,27.9,34.4,25,3.9,34.3,1.3764,103.8492
"1047","Ang Mo Kio",2023-11-13,0.2,28.7,33.3,25.7,5.2,34.3,1.3764,103.8492
"1048","Ang Mo Kio",2023-11-14,11.2,27.2,32.4,25,4.3,34.6,1.3764,103.8492
"1049","Ang Mo Kio",2023-11-15,0.6,27.6,33.5,25.4,5,25.9,1.3764,103.8492
"1050","Ang Mo Kio",2023-11-16,24.8,27.4,34,24.1,3.8,31.3,1.3764,103.8492
"1051","Ang Mo Kio",2023-11-17,32.2,27.1,34.1,23.9,4,45,1.3764,103.8492
"1052","Ang Mo Kio",2023-11-18,2.8,28.2,32.9,25.3,5.8,27.4,1.3764,103.8492
"1053","Ang Mo Kio",2023-11-19,0,27.4,28.9,26.1,5.7,25.2,1.3764,103.8492
"1054","Ang Mo Kio",2023-11-20,33.4,27.7,33,24,4.3,28.2,1.3764,103.8492
"1055","Ang Mo Kio",2023-11-21,28.6,26.7,30.7,24.4,4.1,29.8,1.3764,103.8492
"1056","Ang Mo Kio",2023-11-22,0,27.6,31,25.1,4.9,18.3,1.3764,103.8492
"1057","Ang Mo Kio",2023-11-23,8.4,27.6,32.4,24.4,5.5,29.1,1.3764,103.8492
"1058","Ang Mo Kio",2023-11-24,13.2,27.2,32.4,24.8,4.5,32.4,1.3764,103.8492
"1059","Ang Mo Kio",2023-11-25,6,26.7,31.2,25.3,3.9,24.4,1.3764,103.8492
"1060","Ang Mo Kio",2023-11-26,4,26.4,32.3,24.2,3.9,27.4,1.3764,103.8492
"1061","Ang Mo Kio",2023-11-27,0.4,27,31.4,24.7,4.1,17.2,1.3764,103.8492
"1062","Ang Mo Kio",2023-11-28,11,27.2,32.3,25.7,4.9,28.9,1.3764,103.8492
"1063","Ang Mo Kio",2023-11-29,4,27.2,32.8,25.3,4.1,28.9,1.3764,103.8492
"1064","Ang Mo Kio",2023-11-30,66.8,26.6,32,24.6,4.8,25.9,1.3764,103.8492
"1065","Ang Mo Kio",2023-12-01,14.4,26.5,31.5,23.5,3.7,30.6,1.3764,103.8492
"1066","Ang Mo Kio",2023-12-02,0,27.4,33,25,4,33.2,1.3764,103.8492
"1067","Ang Mo Kio",2023-12-03,1.6,26,27,25.1,3.7,32.8,1.3764,103.8492
"1068","Ang Mo Kio",2023-12-04,0.2,27.3,31.3,24.9,5.2,29.4,1.3764,103.8492
"1069","Ang Mo Kio",2023-12-05,47,27.7,34.6,23.7,3.7,38.5,1.3764,103.8492
"1070","Ang Mo Kio",2023-12-06,56.4,26.2,31.6,23.5,4.4,28.2,1.3764,103.8492
"1071","Ang Mo Kio",2023-12-07,3.8,27,32.8,24.8,4.2,24.1,1.3764,103.8492
"1072","Ang Mo Kio",2023-12-08,0,28.2,32.7,25.1,6.5,28.2,1.3764,103.8492
"1073","Ang Mo Kio",2023-12-09,0.2,27.6,30.7,25.3,5.2,27,1.3764,103.8492
"1074","Ang Mo Kio",2023-12-10,0,27.9,30.4,25.9,5.6,24.4,1.3764,103.8492
"1075","Ang Mo Kio",2023-12-11,7.2,27.5,31.7,24.9,5.3,28.2,1.3764,103.8492
"1076","Ang Mo Kio",2023-12-12,50.2,26.1,30.8,24,4.2,27.8,1.3764,103.8492
"1077","Ang Mo Kio",2023-12-13,12.6,27.1,33.5,24.8,4,25.6,1.3764,103.8492
"1078","Ang Mo Kio",2023-12-14,10,26.9,32.3,24.2,4.3,32,1.3764,103.8492
"1079","Ang Mo Kio",2023-12-15,0,27.5,33.4,24.7,4.1,23.3,1.3764,103.8492
"1080","Ang Mo Kio",2023-12-16,39.6,26.9,31.2,24.5,5.2,33.5,1.3764,103.8492
"1081","Ang Mo Kio",2023-12-17,2,27.5,31.7,25.3,6.6,35.9,1.3764,103.8492
"1082","Ang Mo Kio",2023-12-18,0.2,27.9,31.6,25.4,5.7,32.4,1.3764,103.8492
"1083","Ang Mo Kio",2023-12-19,1,27,31.9,25.7,4.9,27.8,1.3764,103.8492
"1084","Ang Mo Kio",2023-12-20,0.8,27.4,32.2,25.6,5.6,29.1,1.3764,103.8492
"1085","Ang Mo Kio",2023-12-21,13.4,26.8,31.2,24.1,6.6,37.4,1.3764,103.8492
"1086","Ang Mo Kio",2023-12-22,14.2,27.2,31,24.4,9.7,35.9,1.3764,103.8492
"1087","Ang Mo Kio",2023-12-23,1,26.4,27.5,25.5,5.3,24.8,1.3764,103.8492
"1088","Ang Mo Kio",2023-12-24,0.6,27.8,32,24.9,4.6,25.6,1.3764,103.8492
"1089","Ang Mo Kio",2023-12-25,94,25.7,29.5,22.6,5.1,55.4,1.3764,103.8492
"1090","Ang Mo Kio",2023-12-26,8,26.3,29.5,25,6.1,32.4,1.3764,103.8492
"1091","Ang Mo Kio",2023-12-27,18,25.9,28.7,24.3,5.1,28.2,1.3764,103.8492
"1092","Ang Mo Kio",2023-12-28,10.4,26.5,31,24.5,4,30.2,1.3764,103.8492
"1093","Ang Mo Kio",2023-12-29,20.4,27,30.2,24.6,5.9,33.5,1.3764,103.8492
"1094","Ang Mo Kio",2023-12-30,3.8,27.9,31.2,25.6,6.3,36.3,1.3764,103.8492
"1095","Ang Mo Kio",2023-12-31,12,26,27.6,24.5,4.7,28.5,1.3764,103.8492
"1096","Changi",2021-01-01,134.4,24.5,26,21.9,9.6,44.4,1.3678,103.9826
"1097","Changi",2021-01-02,210.6,23.1,24.1,21.7,7.9,37,1.3678,103.9826
"1098","Changi",2021-01-03,5.6,24,25,21.7,4.5,14.8,1.3678,103.9826
"1099","Changi",2021-01-04,0,25.2,28,22.9,5.1,18.5,1.3678,103.9826
"1100","Changi",2021-01-05,4.2,26.3,31.6,23.8,8.8,29.6,1.3678,103.9826
"1101","Changi",2021-01-06,0.8,26.6,29.9,24.8,7.3,29.6,1.3678,103.9826
"1102","Changi",2021-01-07,7.2,24.3,25.3,23.7,5.8,18.5,1.3678,103.9826
"1103","Changi",2021-01-08,40.6,25.3,28.5,23.4,8.6,37,1.3678,103.9826
"1104","Changi",2021-01-09,23.8,25.6,28.7,23.9,7.9,37,1.3678,103.9826
"1105","Changi",2021-01-10,204,23.9,24.6,23.3,8.5,33.3,1.3678,103.9826
"1106","Changi",2021-01-11,2.4,25.8,28.6,24.3,11.5,37,1.3678,103.9826
"1107","Changi",2021-01-12,13,25.7,28.9,23.9,14.1,35.2,1.3678,103.9826
"1108","Changi",2021-01-13,2,25.4,27.7,23.6,10.2,42.6,1.3678,103.9826
"1109","Changi",2021-01-14,0,25.7,29,23.3,8.6,31.5,1.3678,103.9826
"1110","Changi",2021-01-15,0,26.8,30.5,24.4,11.5,29.6,1.3678,103.9826
"1111","Changi",2021-01-16,0,27,30,24.9,12.6,31.5,1.3678,103.9826
"1112","Changi",2021-01-17,0,27.1,30.5,25.2,15.4,38.9,1.3678,103.9826
"1113","Changi",2021-01-18,0,26.5,28.9,25.2,15.9,48.2,1.3678,103.9826
"1114","Changi",2021-01-19,0,26.4,29.7,24,12,35.2,1.3678,103.9826
"1115","Changi",2021-01-20,0,26.4,29.6,24,9.4,31.5,1.3678,103.9826
"1116","Changi",2021-01-21,0.8,26.5,30.7,24.1,10,31.5,1.3678,103.9826
"1117","Changi",2021-01-22,3.2,26.3,30.8,24.1,9.3,27.8,1.3678,103.9826
"1118","Changi",2021-01-23,28.4,26.1,30.6,23,10.1,38.9,1.3678,103.9826
"1119","Changi",2021-01-24,0,26.7,31.2,23.5,11.4,31.5,1.3678,103.9826
"1120","Changi",2021-01-25,0,27.4,31.6,25.1,11.5,31.5,1.3678,103.9826
"1121","Changi",2021-01-26,0,27.3,31.5,24.6,11.2,31.5,1.3678,103.9826
"1122","Changi",2021-01-27,0,26.8,30.2,24.4,9.6,31.5,1.3678,103.9826
"1123","Changi",2021-01-28,10.8,26.4,30.4,23.1,10.7,33.3,1.3678,103.9826
"1124","Changi",2021-01-29,0,26.9,30.6,24.5,12.3,35.2,1.3678,103.9826
"1125","Changi",2021-01-30,0,27,30.5,24.7,12.9,40.7,1.3678,103.9826
"1126","Changi",2021-01-31,1,26.4,30.3,24.1,11.3,35.2,1.3678,103.9826
"1127","Changi",2021-02-01,0,26.9,30.1,24.6,11.9,35.2,1.3678,103.9826
"1128","Changi",2021-02-02,0,26.9,30.3,25.4,12,35.2,1.3678,103.9826
"1129","Changi",2021-02-03,0,27,30.3,25.1,12.7,38.9,1.3678,103.9826
"1130","Changi",2021-02-04,0,26.7,30.8,24.5,13.4,40.7,1.3678,103.9826
"1131","Changi",2021-02-05,0,26.8,31.6,23.7,12.3,37,1.3678,103.9826
"1132","Changi",2021-02-06,0,27.6,31.5,25.6,15.7,38.9,1.3678,103.9826
"1133","Changi",2021-02-07,0,27.6,32.7,24.6,12.6,35.2,1.3678,103.9826
"1134","Changi",2021-02-08,0,27.6,32.1,24.7,13.3,37,1.3678,103.9826
"1135","Changi",2021-02-09,0,27.7,32.1,25,13,33.3,1.3678,103.9826
"1136","Changi",2021-02-10,0,27.4,31.4,25.2,11.6,33.3,1.3678,103.9826
"1137","Changi",2021-02-11,0.6,27.6,31.9,25.1,13,31.5,1.3678,103.9826
"1138","Changi",2021-02-12,0.4,27.5,31.7,25.6,12.8,37,1.3678,103.9826
"1139","Changi",2021-02-13,0,27.7,32.2,25.5,14.7,35.2,1.3678,103.9826
"1140","Changi",2021-02-14,0,27.1,31.1,25.2,15.7,37,1.3678,103.9826
"1141","Changi",2021-02-15,0,27,30.7,24.7,15.8,38.9,1.3678,103.9826
"1142","Changi",2021-02-16,0,26.6,30.6,24.4,14.2,35.2,1.3678,103.9826
"1143","Changi",2021-02-17,0,27,31.2,24.4,14.1,37,1.3678,103.9826
"1144","Changi",2021-02-18,0,26.9,31.1,24.1,16.8,42.6,1.3678,103.9826
"1145","Changi",2021-02-19,0,27.1,31.1,25.1,16.4,42.6,1.3678,103.9826
"1146","Changi",2021-02-20,0,27.2,31.5,25.3,16.8,38.9,1.3678,103.9826
"1147","Changi",2021-02-21,0,27.2,31.9,24.9,15.7,37,1.3678,103.9826
"1148","Changi",2021-02-22,0,27.2,31.6,24.8,14.5,37,1.3678,103.9826
"1149","Changi",2021-02-23,0,27.1,32.9,24.1,13.2,31.5,1.3678,103.9826
"1150","Changi",2021-02-24,0,26.7,31.2,24,10.6,29.6,1.3678,103.9826
"1151","Changi",2021-02-25,0,27.4,32.3,24.1,9.3,25.9,1.3678,103.9826
"1152","Changi",2021-02-26,0,27.6,33.7,24.2,9.3,35.2,1.3678,103.9826
"1153","Changi",2021-02-27,0,28.2,33,25.2,7.7,27.8,1.3678,103.9826
"1154","Changi",2021-02-28,0,28.3,33.5,25.4,11.4,29.6,1.3678,103.9826
"1155","Changi",2021-03-01,0,28.3,34.2,25.4,10.3,27.8,1.3678,103.9826
"1156","Changi",2021-03-02,0,28.3,33.8,25.3,13.5,35.2,1.3678,103.9826
"1157","Changi",2021-03-03,0,28.5,33,25.6,11.7,37,1.3678,103.9826
"1158","Changi",2021-03-04,0,28.5,33.3,25.4,13,38.9,1.3678,103.9826
"1159","Changi",2021-03-05,0,28.8,34,26.2,14,35.2,1.3678,103.9826
"1160","Changi",2021-03-06,0,28.8,33.7,26.1,16,40.7,1.3678,103.9826
"1161","Changi",2021-03-07,36.4,26.5,33.6,23,8.7,35.2,1.3678,103.9826
"1162","Changi",2021-03-08,0,27.7,33.3,23.7,11.8,35.2,1.3678,103.9826
"1163","Changi",2021-03-09,0,28,32.8,24.9,13.3,38.9,1.3678,103.9826
"1164","Changi",2021-03-10,0,28.1,33.1,24.7,12.7,40.7,1.3678,103.9826
"1165","Changi",2021-03-11,0,28.3,33,25,12.2,37,1.3678,103.9826
"1166","Changi",2021-03-12,3.8,27.4,30.9,24.6,6.3,29.6,1.3678,103.9826
"1167","Changi",2021-03-13,0,28,33.2,24.8,10.3,29.6,1.3678,103.9826
"1168","Changi",2021-03-14,12,27.5,32,24.8,9.6,29.6,1.3678,103.9826
"1169","Changi",2021-03-15,19.4,27.7,32.9,24,12.3,31.5,1.3678,103.9826
"1170","Changi",2021-03-16,1.4,28,31.9,25.5,10.5,25.9,1.3678,103.9826
"1171","Changi",2021-03-17,0.6,27.5,32.7,24.7,7.3,33.3,1.3678,103.9826
"1172","Changi",2021-03-18,0,28.1,33.1,26,8,29.6,1.3678,103.9826
"1173","Changi",2021-03-19,0,28.7,33.2,26,9.7,29.6,1.3678,103.9826
"1174","Changi",2021-03-20,0.6,28,32.6,26.2,9,35.2,1.3678,103.9826
"1175","Changi",2021-03-21,0,28.9,33.5,25.6,9,29.6,1.3678,103.9826
"1176","Changi",2021-03-22,0,28.6,33.5,25.7,12.9,48.2,1.3678,103.9826
"1177","Changi",2021-03-23,1.2,28,33.2,25.3,10.2,35.2,1.3678,103.9826
"1178","Changi",2021-03-24,38,25.7,30.6,24.3,5.2,33.3,1.3678,103.9826
"1179","Changi",2021-03-25,1.6,26.2,29.2,24.5,7.3,27.8,1.3678,103.9826
"1180","Changi",2021-03-26,0,28.3,32.3,25.8,10,31.5,1.3678,103.9826
"1181","Changi",2021-03-27,13.2,27.1,31.3,24.1,6.2,38.9,1.3678,103.9826
"1182","Changi",2021-03-28,0,28.4,33,25,6.3,24.1,1.3678,103.9826
"1183","Changi",2021-03-29,8.8,27.5,32.5,24.8,6.8,24.1,1.3678,103.9826
"1184","Changi",2021-03-30,11.8,27.7,32.9,25.1,5,29.6,1.3678,103.9826
"1185","Changi",2021-03-31,33.6,28.5,34,23.3,7.3,35.2,1.3678,103.9826
"1186","Changi",2021-04-01,0,30.4,34.3,26.9,8.7,35.2,1.3678,103.9826
"1187","Changi",2021-04-02,11.4,28.6,34.7,24.8,5.7,25.9,1.3678,103.9826
"1188","Changi",2021-04-03,2,27.8,33.3,26,5.2,37,1.3678,103.9826
"1189","Changi",2021-04-04,42,27,29.2,23.8,5.6,29.6,1.3678,103.9826
"1190","Changi",2021-04-05,33.8,27,32.7,24.5,5.3,42.6,1.3678,103.9826
"1191","Changi",2021-04-06,0,28.4,32.9,25.1,8.2,31.5,1.3678,103.9826
"1192","Changi",2021-04-07,0,29.2,33.3,26.1,9.9,35.2,1.3678,103.9826
"1193","Changi",2021-04-08,33,27.8,33.1,24.6,6.1,31.5,1.3678,103.9826
"1194","Changi",2021-04-09,0.2,28.5,32.2,24.9,8.5,31.5,1.3678,103.9826
"1195","Changi",2021-04-10,0,29.2,33.2,26.1,9.7,31.5,1.3678,103.9826
"1196","Changi",2021-04-11,0,29.2,33.3,26.6,9.5,29.6,1.3678,103.9826
"1197","Changi",2021-04-12,12.4,28.5,32.7,23.2,9.9,31.5,1.3678,103.9826
"1198","Changi",2021-04-13,0,28.8,32.1,26.7,7.3,24.1,1.3678,103.9826
"1199","Changi",2021-04-14,0,28.5,32.5,24.6,6.3,25.9,1.3678,103.9826
"1200","Changi",2021-04-15,18.4,26.8,32.5,23.5,5.4,27.8,1.3678,103.9826
"1201","Changi",2021-04-16,0.2,27.7,30.4,25.5,3.4,18.5,1.3678,103.9826
"1202","Changi",2021-04-17,83.8,25.8,31.2,23.1,5,31.5,1.3678,103.9826
"1203","Changi",2021-04-18,0,28,32.6,24.5,6,22.2,1.3678,103.9826
"1204","Changi",2021-04-19,0,28.4,32.6,26,5.5,24.1,1.3678,103.9826
"1205","Changi",2021-04-20,0,29,32.8,25.6,7.2,31.5,1.3678,103.9826
"1206","Changi",2021-04-21,0,29.1,32.8,27.1,7.4,31.5,1.3678,103.9826
"1207","Changi",2021-04-22,10.8,27.2,31.1,25.2,5.6,22.2,1.3678,103.9826
"1208","Changi",2021-04-23,0,29.1,33.1,26,5.6,29.6,1.3678,103.9826
"1209","Changi",2021-04-24,32,26.4,28.1,23.5,4.3,35.2,1.3678,103.9826
"1210","Changi",2021-04-25,0,28.8,32.6,25.2,7.7,25.9,1.3678,103.9826
"1211","Changi",2021-04-26,8.8,28.3,32.9,25.1,6.6,38.9,1.3678,103.9826
"1212","Changi",2021-04-27,1.6,27.7,31.7,25.7,5.3,24.1,1.3678,103.9826
"1213","Changi",2021-04-28,0,28.4,32.7,25.2,7.3,27.8,1.3678,103.9826
"1214","Changi",2021-04-29,0,29,33.4,26.5,8.9,37,1.3678,103.9826
"1215","Changi",2021-04-30,0,28.7,32.7,26.3,8,33.3,1.3678,103.9826
"1216","Changi",2021-05-01,0.2,28.4,31.9,25.8,8.8,29.6,1.3678,103.9826
"1217","Changi",2021-05-02,0,29.4,33.4,26.1,9.3,31.5,1.3678,103.9826
"1218","Changi",2021-05-03,0,29.5,33.5,27.1,8.2,35.2,1.3678,103.9826
"1219","Changi",2021-05-04,0,29.4,33.2,26.4,7.4,24.1,1.3678,103.9826
"1220","Changi",2021-05-05,0,28.1,32.3,26.1,6.2,31.5,1.3678,103.9826
"1221","Changi",2021-05-06,23.2,27.5,31.1,24.3,3.5,33.3,1.3678,103.9826
"1222","Changi",2021-05-07,0.2,28.5,32.8,26.2,6.5,25.9,1.3678,103.9826
"1223","Changi",2021-05-08,0,28.2,30.9,26.4,4.9,22.2,1.3678,103.9826
"1224","Changi",2021-05-09,6.8,27.8,33.1,26.2,5.5,31.5,1.3678,103.9826
"1225","Changi",2021-05-10,0,29.3,33.6,26.3,8.3,33.3,1.3678,103.9826
"1226","Changi",2021-05-11,0,29.7,33.6,25.9,10,38.9,1.3678,103.9826
"1227","Changi",2021-05-12,34.8,28,31.6,24.9,6.8,29.6,1.3678,103.9826
"1228","Changi",2021-05-13,0,29,32.6,26.1,6.8,25.9,1.3678,103.9826
"1229","Changi",2021-05-14,39.8,28.4,30.6,25,3.5,22.2,1.3678,103.9826
"1230","Changi",2021-05-15,20.6,28,31.1,24.7,6.6,35.2,1.3678,103.9826
"1231","Changi",2021-05-16,0,29.3,33.4,26.5,6.8,35.2,1.3678,103.9826
"1232","Changi",2021-05-17,5.6,28.6,30.9,22.9,6,35.2,1.3678,103.9826
"1233","Changi",2021-05-18,25.8,26.4,28.7,23,6.4,25.9,1.3678,103.9826
"1234","Changi",2021-05-19,3,27.7,30,25.8,4.3,14.8,1.3678,103.9826
"1235","Changi",2021-05-20,0,28.8,31.8,25.7,5.5,24.1,1.3678,103.9826
"1236","Changi",2021-05-21,49.8,27.8,32.6,24.3,6.8,35.2,1.3678,103.9826
"1237","Changi",2021-05-22,0,27.8,30.3,26,6.3,27.8,1.3678,103.9826
"1238","Changi",2021-05-23,0,29.5,32.3,27.1,7.3,25.9,1.3678,103.9826
"1239","Changi",2021-05-24,0,29.8,33.3,27.5,9.3,29.6,1.3678,103.9826
"1240","Changi",2021-05-25,0,30,32.8,28.1,13.8,40.7,1.3678,103.9826
"1241","Changi",2021-05-26,0,29.6,32.4,27.9,10.3,29.6,1.3678,103.9826
"1242","Changi",2021-05-27,1,29.4,33.2,27.4,7.3,27.8,1.3678,103.9826
"1243","Changi",2021-05-28,0,29.2,33.4,26.5,7.6,31.5,1.3678,103.9826
"1244","Changi",2021-05-29,35,28.3,30.6,24.7,7.5,35.2,1.3678,103.9826
"1245","Changi",2021-05-30,0,29.1,33.5,26.9,5.6,33.3,1.3678,103.9826
"1246","Changi",2021-05-31,0,29.3,31.9,27.4,7.3,33.3,1.3678,103.9826
"1247","Changi",2021-06-01,0,29.2,32.3,27.7,7.1,46.3,1.3678,103.9826
"1248","Changi",2021-06-02,0.4,29.3,32.5,27.4,11,35.2,1.3678,103.9826
"1249","Changi",2021-06-03,1.2,29.6,32.5,27.3,11.1,40.7,1.3678,103.9826
"1250","Changi",2021-06-04,0,30,33.7,27.5,9.3,35.2,1.3678,103.9826
"1251","Changi",2021-06-05,0.6,29.6,32.4,27,6.9,35.2,1.3678,103.9826
"1252","Changi",2021-06-06,0,29.7,33,26.6,7,25.9,1.3678,103.9826
"1253","Changi",2021-06-07,0.8,29.6,32.1,27.3,10,33.3,1.3678,103.9826
"1254","Changi",2021-06-08,0,29.3,32,26.3,8.3,33.3,1.3678,103.9826
"1255","Changi",2021-06-09,2.4,28.8,31.3,25.8,5.3,31.5,1.3678,103.9826
"1256","Changi",2021-06-10,1,28,32.5,25.8,6.5,31.5,1.3678,103.9826
"1257","Changi",2021-06-11,0.2,28.5,31.4,25.5,7,31.5,1.3678,103.9826
"1258","Changi",2021-06-12,3.6,28.7,32.9,25,9.1,46.3,1.3678,103.9826
"1259","Changi",2021-06-13,15.2,28.4,31.7,23.6,8.9,44.4,1.3678,103.9826
"1260","Changi",2021-06-14,0,29,33,26.2,7,37,1.3678,103.9826
"1261","Changi",2021-06-15,1.8,27.6,31.8,25.4,6.1,38.9,1.3678,103.9826
"1262","Changi",2021-06-16,0,28.1,31.7,25.2,5.3,18.5,1.3678,103.9826
"1263","Changi",2021-06-17,0,29,32.9,25.8,7.9,42.6,1.3678,103.9826
"1264","Changi",2021-06-18,23.8,26.6,29.5,23.4,4.5,35.2,1.3678,103.9826
"1265","Changi",2021-06-19,0,28.2,32.6,25.9,5,22.2,1.3678,103.9826
"1266","Changi",2021-06-20,1.6,27.4,31.8,23.5,6.5,38.9,1.3678,103.9826
"1267","Changi",2021-06-21,0.2,28.6,32.8,24.7,6.2,25.9,1.3678,103.9826
"1268","Changi",2021-06-22,0.2,28.4,31.5,24.9,6.9,33.3,1.3678,103.9826
"1269","Changi",2021-06-23,0,29,33.6,25.3,6.3,29.6,1.3678,103.9826
"1270","Changi",2021-06-24,6.8,28.2,32.9,24.3,5.9,31.5,1.3678,103.9826
"1271","Changi",2021-06-25,6.2,27.4,31.6,25.8,4.9,29.6,1.3678,103.9826
"1272","Changi",2021-06-26,11.4,27.8,31.9,24,5.2,31.5,1.3678,103.9826
"1273","Changi",2021-06-27,0.4,27.5,29.6,26.3,4.6,24.1,1.3678,103.9826
"1274","Changi",2021-06-28,0.2,28.8,32,26.1,7.9,29.6,1.3678,103.9826
"1275","Changi",2021-06-29,15.4,27.6,32.3,23.9,5.8,25.9,1.3678,103.9826
"1276","Changi",2021-06-30,0,28.1,32.3,24.4,6.6,25.9,1.3678,103.9826
"1277","Changi",2021-07-01,2.2,29.2,32.4,27.5,10.6,38.9,1.3678,103.9826
"1278","Changi",2021-07-02,0,28.9,33,26.8,6.6,35.2,1.3678,103.9826
"1279","Changi",2021-07-03,25.4,28,32.7,23.5,5.9,51.9,1.3678,103.9826
"1280","Changi",2021-07-04,3,26.3,28.6,24,4.4,31.5,1.3678,103.9826
"1281","Changi",2021-07-05,1.6,28.1,30.5,26.1,6.7,42.6,1.3678,103.9826
"1282","Changi",2021-07-06,0,28.2,30.5,26.4,4.8,24.1,1.3678,103.9826
"1283","Changi",2021-07-07,0,28.5,31.6,26.3,7.3,35.2,1.3678,103.9826
"1284","Changi",2021-07-08,0,29.3,32.5,26.7,9.3,33.3,1.3678,103.9826
"1285","Changi",2021-07-09,0,29.3,32.5,27.2,11,35.2,1.3678,103.9826
"1286","Changi",2021-07-10,11.2,26.4,28.2,24.4,5.3,33.3,1.3678,103.9826
"1287","Changi",2021-07-11,21.8,26.6,30.3,23.4,5.5,51.9,1.3678,103.9826
"1288","Changi",2021-07-12,43.2,26.5,32.6,23.7,5.9,37,1.3678,103.9826
"1289","Changi",2021-07-13,75,25.1,27.1,23.2,7.5,35.2,1.3678,103.9826
"1290","Changi",2021-07-14,0.4,27,28.9,24.7,7.8,33.3,1.3678,103.9826
"1291","Changi",2021-07-15,0,28.5,32.2,25.2,9.1,27.8,1.3678,103.9826
"1292","Changi",2021-07-16,0,29.6,32.8,27.8,13.7,37,1.3678,103.9826
"1293","Changi",2021-07-17,0,29.3,32.3,27.3,11.7,31.5,1.3678,103.9826
"1294","Changi",2021-07-18,0,29.5,32.5,27.1,9.2,33.3,1.3678,103.9826
"1295","Changi",2021-07-19,0.2,28.6,31.7,27.2,7.2,29.6,1.3678,103.9826
"1296","Changi",2021-07-20,0,29.5,32.6,26.6,7.8,27.8,1.3678,103.9826
"1297","Changi",2021-07-21,0,29.6,32.7,27.3,11.3,33.3,1.3678,103.9826
"1298","Changi",2021-07-22,0,29.8,32.9,27.3,11.3,35.2,1.3678,103.9826
"1299","Changi",2021-07-23,2.2,29,33,25.9,7.6,46.3,1.3678,103.9826
"1300","Changi",2021-07-24,0,29.3,33.2,26.8,10.3,29.6,1.3678,103.9826
"1301","Changi",2021-07-25,0,29.9,32.9,27.5,12.5,33.3,1.3678,103.9826
"1302","Changi",2021-07-26,0,29.6,32.4,27.6,11.7,31.5,1.3678,103.9826
"1303","Changi",2021-07-27,0,29.5,32.1,27.3,9,37,1.3678,103.9826
"1304","Changi",2021-07-28,0,29.6,33.1,27.4,11.8,33.3,1.3678,103.9826
"1305","Changi",2021-07-29,0,29.8,32.8,27.7,12,37,1.3678,103.9826
"1306","Changi",2021-07-30,0,30.1,33.4,28.1,11.3,31.5,1.3678,103.9826
"1307","Changi",2021-07-31,9.6,28.6,31,23.8,9.3,44.4,1.3678,103.9826
"1308","Changi",2021-08-01,20.4,27.7,30.9,23.1,4.6,42.6,1.3678,103.9826
"1309","Changi",2021-08-02,0.2,28.5,32.9,26.4,6.6,29.6,1.3678,103.9826
"1310","Changi",2021-08-03,7.2,28.4,32.2,23.2,10.2,50,1.3678,103.9826
"1311","Changi",2021-08-04,1.4,27.2,28.7,23.8,6.6,37,1.3678,103.9826
"1312","Changi",2021-08-05,0,28.9,32,27,9.1,33.3,1.3678,103.9826
"1313","Changi",2021-08-06,0,28.7,32.3,26.2,10.4,33.3,1.3678,103.9826
"1314","Changi",2021-08-07,1.8,28.7,32.4,26.2,10,29.6,1.3678,103.9826
"1315","Changi",2021-08-08,0.4,27.5,32.4,25.5,6.8,35.2,1.3678,103.9826
"1316","Changi",2021-08-09,0,28.7,32.6,24.7,7.2,29.6,1.3678,103.9826
"1317","Changi",2021-08-10,0,29.4,32.5,27.3,8.6,40.7,1.3678,103.9826
"1318","Changi",2021-08-11,1.6,28.7,31.5,25.4,7.4,37,1.3678,103.9826
"1319","Changi",2021-08-12,7,28.5,32.2,24.9,9.9,35.2,1.3678,103.9826
